		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
home loans wheelers hill		4	5	4	3	4	2	2	3	3	3	3	3	3	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	4	4	5	3	3	6	7	3	5
mortgage broker olinda		1	1	1	1	1	1	1	1	1	-	-	-	3	4	3	3	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	2	3	2	3
mortgage broker belgrave		5	7	6	3	3	3	4	5	5	3	-	-	4	6	3	4	3	4	4	5	6	4	3	3	3	3	3	3	3	2	2	3	3	3	3	2	3
mortgage broker emerald		9	7	6	4	4	4	4	5	4	5	6	6	6	6	4	4	4	4	6	6	3	5	4	4	3	3	4	3	3	3	3	3	2	3	3	2	3
mortgage broker cockatoo		3	5	5	1	1	1	2	2	3	3	2	2	2	2	3	3	3	3	2	2	2	3	2	2	2	2	2	2	1	1	1	1	1	2	2	2	4
mortgage broker gembrook		4	5	4	3	2	2	2	4	-	3	4	-	2	2	2	2	2	2	2	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
home loans olinda		1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	2	2	1	1	-	1	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2
home loans belgrave		1	2	3	2	2	1	1	2	2	1	2	2	2	1	2	2	3	3	3	2	3	2	2	1	1	1	2	1	1	1	1	2	2	3	3	2	3
home loans emerald		1	1	2	1	1	1	3	3	4	3	5	5	5	3	4	2	5	5	5	4	3	4	5	4	3	3	3	3	3	3	3	4	4	4	3	3	5
home loans cockatoo		1	2	1	1	1	1	1	1	1	1	1	3	2	2	4	3	4	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	2	4
home loans gembrook		1	3	1	1	1	1	1	1	-	1	2	1	1	1	1	1	2	2	-	-	-	-	2	-	2	2	-	2	2	2	2	2	2	1	1	2	1
